,,,,,,
x,vL0.0399,vel0.0399,vel0.04,"18564668311833500,00",mitjana,
1.23,"8381571410707500,0000000","0,8381571411","0,8347429552","8344930671581200,00","0,8364500482","8364500481504520,0000000"
1.24,"8378918002575980,0000000","0,8378918003","0,8344930672","8342222779848410,00","0,8361924337","8361924337078590,0000000"
1.25,"8375483265000980,0000000","0,8375483265","0,8342222780","8338664196919200,00","0,8358853022","8358853022424700,0000000"
1.26,"8373270773934930,0000000","0,8373270774","0,8338664197","8337024744329640,00","0,8355967485","8355967485427070,0000000"
1.27,"8371042472363920,0000000","0,8371042472","0,8337024744","8334345709058500,00","0,8354033608","8354033608346780,0000000"
1.28,"8368837773385500,0000000","0,8368837773","0,8334345709","8332418163398530,00","0,8351591741","8351591741222000,0000000"
1.29,"8366037600347570,0000000","0,83660376","0,8332418163","8329644382268550,00","0,8349227882","8349227881873050,0000000"
1.3,"8364312070085390,0000000","0,836431207","0,8329644382","8327898612130880,00","0,8346978226","8346978226176970,0000000"
1.31,"8362414227668860,0000000","0,8362414228","0,8327898612","8326754047850280,00","0,8345156420","8345156419899870,0000000"
1.32,"8360507123453540,0000000","0,8360507123","0,8326754048","8324704903906450,00","0,8343630586","8343630585651910,0000000"
1.33,"8359140722659650,0000000","0,8359140723","0,8324704904","8323495185340470,00","0,8341922813","8341922813283050,0000000"
1.34,"8357486380820740,0000000","0,8357486381","0,8323495185","8322404661985780,00","0,8340490783","8340490783080610,0000000"
1.35,"8355802852623320,0000000","0,8355802853","0,8322404662","8320684504826620,00","0,8339103757","8339103757304550,0000000"
1.36,"8355165097458940,0000000","0,8355165097","0,8320684505","8319838558391280,00","0,8337924801","8337924801142780,0000000"
1.37,"8353693835551010,0000000","0,8353693836","0,8319838558","8319179333136640,00","0,8336766197","8336766196971140,0000000"
13.800.000.000.000.000,"8352535877357040,0000000","0,8352535877","0,8319179333","8318188502344790,00","0,8335857605","8335857605246840,0000000"
13.900.000.000.000.000,"8352229113066930,0000000","0,8352229113","0,8318188502","8317739360956550,00","0,8335208808","8335208807705860,0000000"
14.000.000.000.000.000,"8351339795765460,0000000","0,8351339796","0,8317739361","8316356487762500,00","0,8334539578","8334539578361000,0000000"
1.41,"8350318633490750,0000000","0,8350318633","0,8316356488","8315711848475440,00","0,8333337561","8333337560626630,0000000"
1.42,"8350166251031130,0000000","0,8350166251","0,8315711848","8315368350189500,00","0,8332939050","8332939049753290,0000000"
1.43,"8349293572277510,0000000","0,8349293572","0,8315368350","8314723659790930,00","0,8332330961","8332330961233510,0000000"
1.44,"8349405425523070,0000000","0,8349405426","0,8314723660","8314633680723360,00","0,8332064543","8332064542657000,0000000"
1.45,"8348454804740800,0000000","0,8348454805","0,8314633681","8313967680838740,00","0,8331544243","8331544242732080,0000000"
1.46,"8347960528853630,0000000","0,8347960529","0,8313967681","8314613379934480,00","0,8330964105","8330964104846190,0000000"
1.47,"8348433566874960,0000000","0,8348433567","0,8314613380","8315021081920900,00","0,8331523473","8331523473404720,0000000"
1.48,"8348971708393340,0000000","0,8348971708","0,8315021082","8314445143916450,00","0,8331996395","8331996395157120,0000000"
1.49,"8348452664975560,0000000","0,8348452665","0,8314445144","8314386829618670,00","0,8331448904","8331448904446010,0000000"
1.5,"8348397308035240,0000000","0,8348397308","0,8314386830",,"0,8331392069","8331392068826960,0000000"
